iteration,crossover_type,nbMoves,nbLoopsLS,m1,m2,m3,m4,m5,m6,m7,m8,m9,swapStar,nbMovesRepair,nbLoopsRepair,m1r,m2r,m3r,m4r,m5r,m6r,m7r,m8r,m9r,swapStarR,time_crossover,time_LS,ratio_crossover_LS
1090,GrPX,255,6,100,13,13,28,7,1,12,34,20,27,0,0,0,0,0,0,0,0,0,0,0,0,0.000396283,0.0182063,0.0217662
1100,GrPX,225,4,79,20,3,23,5,3,16,34,13,29,0,0,0,0,0,0,0,0,0,0,0,0,0.000386013,0.0196107,0.0196838
1110,GrPX,267,4,76,11,13,42,11,9,17,25,22,41,0,0,0,0,0,0,0,0,0,0,0,0,0.000395203,0.0202883,0.0194793
1120,GrPX,263,6,97,12,9,27,8,3,15,32,20,40,7,3,6,0,1,0,0,0,0,0,0,0,0.000401233,0.0277453,0.0144613
1130,GrPX,266,6,96,17,6,20,9,1,18,36,28,35,0,0,0,0,0,0,0,0,0,0,0,0,0.000403243,0.0214607,0.0187898
1140,GrPX,280,6,104,12,3,31,9,2,10,39,22,48,3,3,2,0,0,1,0,0,0,0,0,0,0.000392183,0.0316654,0.0123852
1150,GrPX,269,6,88,16,15,21,8,5,20,35,23,38,0,0,0,0,0,0,0,0,0,0,0,0,0.000387463,0.021611,0.0179289
1160,GrPX,250,8,76,14,6,28,13,3,10,41,17,42,0,0,0,0,0,0,0,0,0,0,0,0,0.000386453,0.028502,0.0135588
1170,GrPX,285,6,99,14,10,26,13,1,22,23,20,57,65,5,14,3,1,8,0,1,3,7,7,21,0.000392813,0.0446534,0.00879694
1180,GrPX,184,5,65,8,6,19,5,2,4,22,14,39,0,0,0,0,0,0,0,0,0,0,0,0,0.000396253,0.0201975,0.0196189
1190,GrPX,378,7,128,20,16,40,9,4,22,37,37,65,18,3,4,0,0,6,0,0,2,2,1,3,0.000395603,0.0393016,0.0100658
1200,GrPX,352,8,126,11,10,52,11,3,17,32,26,64,11,4,1,0,0,4,0,0,0,0,0,6,0.000468754,0.0407523,0.0115025
1210,GrPX,243,6,91,13,5,25,15,3,19,25,13,34,0,0,0,0,0,0,0,0,0,0,0,0,0.000383573,0.0207236,0.018509
1220,GrPX,266,6,90,18,13,27,9,4,21,24,18,42,0,0,0,0,0,0,0,0,0,0,0,0,0.000385433,0.0211361,0.0182358
1230,GrPX,123,4,45,4,9,16,4,0,9,12,8,16,11,5,2,0,1,0,0,0,1,1,1,5,0.000388683,0.0255288,0.0152253
1240,GrPX,124,4,64,3,4,15,3,1,6,10,7,11,0,0,0,0,0,0,0,0,0,0,0,0,0.000387793,0.0158434,0.0244766
1250,GrPX,320,5,112,22,6,38,9,7,21,37,22,46,36,6,7,0,0,6,1,0,3,2,5,12,0.000396423,0.0394248,0.0100552
1260,GrPX,185,4,66,7,6,29,3,4,9,23,20,18,0,0,0,0,0,0,0,0,0,0,0,0,0.000387803,0.0123955,0.0312858
1270,GrPX,190,6,67,13,3,25,8,3,13,17,11,30,0,0,0,0,0,0,0,0,0,0,0,0,0.000391163,0.0182662,0.0214146
1280,GrPX,194,5,69,11,4,21,5,3,14,21,14,32,7,3,0,0,0,2,0,0,1,0,1,3,0.000385643,0.0246489,0.0156455
1290,GrPX,213,5,56,10,3,22,2,2,10,26,27,55,0,0,0,0,0,0,0,0,0,0,0,0,0.000394234,0.02069,0.0190543
1300,GrPX,164,5,50,9,3,29,8,1,7,13,16,28,3,3,0,0,0,2,0,0,0,0,0,1,0.000378883,0.0279507,0.0135554
1310,GrPX,203,5,73,5,4,27,11,0,12,20,17,34,0,0,0,0,0,0,0,0,0,0,0,0,0.000389253,0.0196723,0.0197869
1320,GrPX,357,5,130,24,10,40,13,7,27,29,22,55,20,5,2,0,0,4,0,0,0,1,1,12,0.000396733,0.0392338,0.010112
1330,GrPX,304,6,113,21,12,29,9,7,21,22,26,44,5,3,2,0,0,0,0,0,0,0,0,3,0.000396894,0.0352804,0.0112497
