iteration,crossover_type,nbMoves,nbLoopsLS,m1,m2,m3,m4,m5,m6,m7,m8,m9,swapStar,nbMovesRepair,nbLoopsRepair,m1r,m2r,m3r,m4r,m5r,m6r,m7r,m8r,m9r,swapStarR,time_crossover,time_LS,ratio_crossover_LS
640,OX,102,4,25,3,3,25,3,2,3,6,6,26,11,3,4,0,0,5,0,0,0,1,1,0,0.00457795,0.0171846,0.266399
650,OX,140,4,40,5,10,23,2,2,4,17,11,26,12,3,2,0,0,6,0,0,1,1,0,2,0.00386361,0.0199174,0.193982
660,OX,95,5,27,3,3,20,7,8,6,7,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0.00382034,0.00886973,0.430717
670,OX,65,5,23,1,0,17,1,2,3,5,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0.00381227,0.00912356,0.417849
680,OX,169,10,42,4,4,38,2,5,9,10,8,47,19,3,2,0,1,7,0,0,1,0,4,4,0.00385711,0.0257145,0.149997
690,OX,114,3,33,6,4,23,3,2,8,19,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0.00385268,0.00793304,0.48565
700,OX,74,4,24,2,1,13,3,1,4,8,4,14,4,3,0,0,0,1,0,0,0,1,0,2,0.0037329,0.0164242,0.227281
710,OX,118,7,37,7,2,22,5,1,3,6,9,26,0,0,0,0,0,0,0,0,0,0,0,0,0.0044609,0.0140365,0.317808
720,OX,52,4,19,1,2,9,1,1,4,6,4,5,7,3,2,0,0,2,0,0,0,1,1,1,0.00403707,0.012939,0.312009
730,OX,108,9,21,4,4,22,1,4,7,6,6,33,0,0,0,0,0,0,0,0,0,0,0,0,0.00397587,0.0152602,0.260538
740,OX,137,4,38,4,7,25,0,3,4,14,10,32,0,0,0,0,0,0,0,0,0,0,0,0,0.00384995,0.0113467,0.339302
750,OX,263,5,74,8,6,67,8,7,11,22,25,35,9,4,5,0,0,2,0,0,0,0,1,1,0.00397866,0.0207387,0.191846
760,OX,73,4,20,3,2,16,1,1,6,6,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0.00410677,0.0093941,0.437165
770,OX,180,4,46,4,6,46,7,1,7,12,13,38,237,6,39,4,3,57,6,5,13,12,7,91,0.00390728,0.0298374,0.130953
780,OX,137,6,38,8,4,22,8,3,6,7,9,32,24,4,10,0,1,3,1,1,2,0,2,4,0.00410255,0.0201877,0.20322
790,OX,157,8,50,4,1,25,2,5,5,9,13,43,0,0,0,0,0,0,0,0,0,0,0,0,0.00386527,0.0162717,0.237545
800,OX,114,5,23,3,3,25,3,0,7,9,7,34,0,0,0,0,0,0,0,0,0,0,0,0,0.00420737,0.01234,0.340954
810,OX,137,6,37,4,3,24,2,5,11,10,7,34,0,0,0,0,0,0,0,0,0,0,0,0,0.00374862,0.0129717,0.288986
820,OX,94,5,33,5,3,16,0,4,5,5,7,16,0,0,0,0,0,0,0,0,0,0,0,0,0.00402132,0.0103565,0.388289
830,OX,125,4,21,4,5,25,2,4,6,11,8,39,45,4,11,1,1,10,0,0,3,1,6,12,0.00380343,0.0197797,0.19229
840,OX,126,5,29,6,6,24,4,7,10,8,6,26,0,0,0,0,0,0,0,0,0,0,0,0,0.00383569,0.0128027,0.299599
850,OX,142,6,35,5,4,39,6,10,2,13,8,20,0,0,0,0,0,0,0,0,0,0,0,0,0.00397839,0.012618,0.315294
860,OX,37,4,13,2,1,7,1,2,1,3,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0.00374175,0.00662227,0.565026
870,OX,97,4,25,3,4,15,2,2,9,16,8,13,4,3,2,0,0,0,0,0,0,1,0,1,0.00377788,0.0143287,0.263658
880,OX,86,4,22,0,4,21,4,1,7,8,6,13,0,0,0,0,0,0,0,0,0,0,0,0,0.00436005,0.00973021,0.448094
890,OX,126,4,21,4,1,39,3,9,3,12,7,27,20,6,4,0,0,3,0,0,1,1,1,10,0.00412575,0.0190678,0.216372
900,OX,90,6,27,4,1,15,1,2,3,6,5,26,0,0,0,0,0,0,0,0,0,0,0,0,0.0040714,0.0122477,0.332421
910,OX,65,4,29,3,2,5,1,1,3,8,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0.00420873,0.00936599,0.449363
920,OX,93,4,20,0,4,22,2,2,6,13,9,15,0,0,0,0,0,0,0,0,0,0,0,0,0.00380406,0.00846729,0.449265
930,OX,132,4,40,3,4,28,2,2,5,8,8,32,30,4,3,1,0,9,1,1,1,1,4,9,0.00390435,0.0227789,0.171402
940,OX,163,6,54,3,2,27,3,5,8,15,14,32,0,0,0,0,0,0,0,0,0,0,0,0,0.00384625,0.0122563,0.313819
950,OX,52,7,19,0,2,11,0,1,2,6,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0.000161712,0.0101274,0.0159678
960,OX,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000160421,0.00612805,0.0261782
970,OX,146,8,29,2,1,38,1,2,2,10,8,53,0,0,0,0,0,0,0,0,0,0,0,0,0.00433728,0.0149112,0.290874
980,OX,120,5,25,2,0,25,1,5,3,12,17,30,15,5,4,0,0,2,0,0,0,1,1,7,0.00412281,0.0218753,0.188469
990,OX,117,6,21,1,2,25,3,1,8,12,11,33,13,3,4,0,1,3,0,0,0,0,2,3,0.00386675,0.0208397,0.185547
1000,OX,29,3,8,3,0,10,0,0,4,0,1,3,24,3,10,0,1,5,0,0,2,3,0,3,0.000159282,0.0145974,0.0109117
1010,OX,59,5,22,1,3,10,0,1,4,0,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0.0040274,0.0111721,0.360489
1020,OX,48,4,10,0,1,12,0,2,3,3,6,11,1,3,0,0,0,0,0,0,0,1,0,0,0.0038339,0.0160349,0.239098
1030,OX,148,5,44,2,3,29,4,5,3,9,12,37,26,3,7,1,0,7,0,0,1,0,3,7,0.00382928,0.0201766,0.189788
1040,OX,172,4,53,5,2,38,3,5,6,10,15,35,12,3,3,1,0,5,0,0,1,0,1,1,0.00387114,0.0179728,0.21539
1050,OX,133,6,43,7,3,27,4,11,9,6,7,16,0,0,0,0,0,0,0,0,0,0,0,0,0.00441373,0.0123899,0.356236
1060,OX,144,6,33,2,4,22,8,4,8,19,11,33,0,0,0,0,0,0,0,0,0,0,0,0,0.00382826,0.0141529,0.270492
1070,OX,69,4,15,2,1,15,0,7,5,11,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0.003728,0.00852775,0.437162
1080,OX,138,4,39,5,5,31,2,7,3,9,13,24,8,3,1,0,0,0,0,0,0,3,0,4,0.00388668,0.0162339,0.239417
