iteration,crossover_type,nbMoves,nbLoopsLS,m1,m2,m3,m4,m5,m6,m7,m8,m9,swapStar,nbMovesRepair,nbLoopsRepair,m1r,m2r,m3r,m4r,m5r,m6r,m7r,m8r,m9r,swapStarR,time_crossover,time_LS,ratio_crossover_LS
580,PMX,146,4,21,1,2,47,0,14,1,17,16,27,0,0,0,0,0,0,0,0,0,0,0,0,0.00826003,0.0189747,0.435317
590,PMX,181,7,23,3,3,60,2,6,1,17,20,46,50,3,7,4,2,12,1,4,1,5,1,13,0.00827048,0.0381403,0.216844
600,PMX,92,3,15,3,4,25,3,5,0,18,5,14,0,0,0,0,0,0,0,0,0,0,0,0,0.00825915,0.0157007,0.526037
610,PMX,156,5,30,5,1,48,0,5,1,19,8,39,0,0,0,0,0,0,0,0,0,0,0,0,0.00830769,0.0210159,0.395304
620,PMX,115,8,18,2,1,33,2,6,0,8,10,35,6,3,0,0,2,1,0,1,0,0,0,2,0.00823502,0.0300347,0.274183
630,PMX,253,5,40,5,1,66,1,11,1,37,24,67,0,0,0,0,0,0,0,0,0,0,0,0,0.00872199,0.02269,0.384398
640,PMX,189,4,28,6,1,54,2,6,1,24,18,49,25,3,5,0,1,4,0,0,0,3,2,10,0.0083432,0.0319617,0.261038
650,PMX,226,4,27,5,3,66,4,17,0,28,20,56,0,0,0,0,0,0,0,0,0,0,0,0,0.00850436,0.0212375,0.400441
660,PMX,135,6,22,6,2,33,1,9,1,13,8,40,0,0,0,0,0,0,0,0,0,0,0,0,0.00833224,0.018303,0.455238
670,PMX,135,3,22,2,3,40,1,11,1,17,9,29,15,3,2,1,0,3,0,0,0,1,4,4,0.00835955,0.0320286,0.261003
680,PMX,78,4,11,6,1,20,1,4,0,10,5,20,14,3,4,0,0,4,0,1,0,1,2,2,0.00830623,0.025725,0.322886
690,PMX,214,7,27,8,2,59,1,10,0,20,18,69,8,3,1,0,1,2,0,0,0,1,0,3,0.00816005,0.036891,0.221194
700,PMX,248,5,31,7,3,72,0,16,1,24,14,80,11,3,1,0,0,7,0,0,0,0,0,3,0.00834882,0.0384919,0.216898
710,PMX,205,4,36,9,4,67,2,10,1,18,18,40,0,0,0,0,0,0,0,0,0,0,0,0,0.00844534,0.0183635,0.459899
720,PMX,148,5,22,4,3,55,2,7,0,17,8,30,3,3,1,0,0,1,0,0,0,0,1,0,0.00819943,0.0309729,0.26473
730,PMX,244,4,38,4,3,69,5,15,2,38,19,51,0,0,0,0,0,0,0,0,0,0,0,0,0.00864609,0.0195334,0.44263
740,PMX,206,4,28,8,2,56,4,12,0,26,16,54,18,3,3,2,0,2,1,1,0,1,0,8,0.00836554,0.031994,0.261472
750,PMX,98,4,20,3,0,22,0,5,0,7,10,31,0,0,0,0,0,0,0,0,0,0,0,0,0.00828426,0.0187753,0.441233
760,PMX,138,6,16,2,2,36,1,7,1,15,9,49,0,0,0,0,0,0,0,0,0,0,0,0,0.0083139,0.0195863,0.424476
770,PMX,86,4,22,1,0,23,0,2,0,6,9,23,20,3,5,0,0,4,0,0,1,0,0,10,0.00824769,0.027743,0.297289
780,PMX,171,5,31,3,3,51,2,10,3,23,13,32,0,0,0,0,0,0,0,0,0,0,0,0,0.00859677,0.0182128,0.472018
790,PMX,171,6,32,4,4,44,5,9,1,20,12,40,0,0,0,0,0,0,0,0,0,0,0,0,0.00863664,0.0209634,0.411987
800,PMX,204,5,35,4,3,60,1,11,3,29,17,41,0,0,0,0,0,0,0,0,0,0,0,0,0.00823046,0.0212761,0.38684
810,PMX,79,3,13,1,0,20,0,8,0,11,7,19,0,0,0,0,0,0,0,0,0,0,0,0,0.00821236,0.0153592,0.534688
820,PMX,189,5,22,6,1,58,1,8,1,16,17,59,6,3,2,1,0,1,0,0,0,0,0,2,0.00841823,0.0342812,0.245564
830,PMX,243,7,36,5,5,74,3,9,4,29,24,54,0,0,0,0,0,0,0,0,0,0,0,0,0.00848348,0.0261946,0.323864
840,PMX,269,6,29,7,3,72,2,15,3,44,20,74,0,0,0,0,0,0,0,0,0,0,0,0,0.00847971,0.0260008,0.326133
850,PMX,246,6,33,10,4,67,3,14,1,32,16,66,12,3,2,1,0,6,0,0,0,1,0,2,0.00839427,0.0372478,0.225363
860,PMX,222,5,22,4,5,72,1,9,2,17,21,69,0,0,0,0,0,0,0,0,0,0,0,0,0.0085095,0.0222863,0.381827
870,PMX,175,5,24,7,2,56,1,10,1,17,15,42,0,0,0,0,0,0,0,0,0,0,0,0,0.00844737,0.0195341,0.432443
880,PMX,211,6,37,2,4,47,4,11,0,28,22,56,26,4,4,0,0,8,0,0,0,4,0,10,0.00831615,0.0382713,0.217295
890,PMX,125,5,19,3,1,38,0,5,1,23,11,24,0,0,0,0,0,0,0,0,0,0,0,0,0.00841874,0.0179452,0.469135
900,PMX,109,5,15,1,2,33,1,3,1,21,6,26,0,0,0,0,0,0,0,0,0,0,0,0,0.0085852,0.0169279,0.507163
910,PMX,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000253942,0.0125724,0.0201984
920,PMX,114,5,14,2,1,25,1,5,1,11,11,43,0,0,0,0,0,0,0,0,0,0,0,0,0.0084245,0.0193161,0.436138
930,PMX,190,5,27,2,1,58,2,12,1,20,10,57,6,3,1,1,0,1,0,0,0,0,2,1,0.00845061,0.0290041,0.291359
940,PMX,237,6,37,6,4,76,3,9,4,18,14,66,0,0,0,0,0,0,0,0,0,0,0,0,0.00901234,0.0230952,0.390225
950,PMX,316,5,41,5,4,92,6,19,2,47,19,81,25,4,7,0,2,3,0,1,0,1,1,10,0.00839009,0.03889,0.215739
960,PMX,130,4,24,4,2,39,4,3,0,13,10,31,1,3,0,0,0,0,0,0,0,0,1,0,0.00847822,0.0303476,0.27937
970,PMX,246,6,31,8,8,64,1,15,1,27,23,68,14,3,2,1,0,4,0,0,0,2,0,5,0.00869757,0.0381773,0.227821
980,PMX,244,5,22,6,1,73,4,15,0,27,22,74,5,3,3,0,1,1,0,0,0,0,0,0,0.00826833,0.0318014,0.259999
990,PMX,237,5,36,6,2,68,7,8,1,31,19,59,0,0,0,0,0,0,0,0,0,0,0,0,0.00853648,0.0246876,0.34578
1000,PMX,314,7,47,8,6,87,4,19,0,36,38,69,20,4,0,1,0,7,0,2,0,2,0,8,0.0085139,0.0422032,0.201736
1010,PMX,254,6,29,7,7,64,3,16,2,32,26,68,0,0,0,0,0,0,0,0,0,0,0,0,0.008659,0.0229228,0.377746
1020,PMX,189,4,33,5,2,52,0,7,0,21,14,55,0,0,0,0,0,0,0,0,0,0,0,0,0.0084234,0.0225114,0.374184
1030,PMX,106,5,12,1,2,39,0,7,1,9,8,27,15,3,4,1,0,4,0,0,0,2,0,4,0.00836776,0.0300508,0.278454
1040,PMX,272,5,32,4,3,76,4,19,3,19,27,85,26,3,6,1,0,9,0,0,0,1,2,7,0.00822768,0.039993,0.205728
1050,PMX,129,6,18,4,1,28,3,5,1,27,9,33,0,0,0,0,0,0,0,0,0,0,0,0,0.00838985,0.0206327,0.406629
1060,PMX,205,4,38,12,1,65,3,12,3,19,17,35,25,3,4,1,1,7,0,0,0,4,3,5,0.00829848,0.0314411,0.263937
1070,PMX,285,4,38,11,4,81,2,11,1,24,41,72,0,0,0,0,0,0,0,0,0,0,0,0,0.00842722,0.0201049,0.419162
1080,PMX,344,5,55,13,5,103,2,21,1,37,31,76,0,0,0,0,0,0,0,0,0,0,0,0,0.00837613,0.0253433,0.330507
1090,PMX,132,5,30,3,0,42,0,4,0,12,10,31,9,6,0,0,1,2,0,0,0,0,0,6,0.00826801,0.0309264,0.267345
1100,PMX,229,7,38,3,4,61,1,13,2,21,32,54,0,0,0,0,0,0,0,0,0,0,0,0,0.00839841,0.0231451,0.362859
1110,PMX,78,4,10,1,2,23,1,3,1,11,5,21,2,3,0,0,0,1,0,0,0,1,0,0,0.00836769,0.0255822,0.32709
1120,PMX,134,5,16,4,3,38,1,7,1,13,9,42,0,0,0,0,0,0,0,0,0,0,0,0,0.00831149,0.018211,0.4564
1130,PMX,5,3,0,0,1,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.000329942,0.0115165,0.0286494
1140,PMX,0,3,0,0,0,0,0,0,0,0,0,0,9,3,2,0,1,2,0,0,0,0,0,4,0.000250832,0.0217716,0.0115211
1150,PMX,224,8,24,7,3,65,2,13,0,31,27,52,0,0,0,0,0,0,0,0,0,0,0,0,0.00832091,0.0269187,0.309113
1160,PMX,191,6,28,1,3,57,0,15,0,21,13,53,0,0,0,0,0,0,0,0,0,0,0,0,0.00858078,0.0215792,0.397642
1170,PMX,6,3,1,0,0,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.000267892,0.0121999,0.0219586
1180,PMX,240,5,24,6,6,74,4,6,0,27,18,75,10,3,0,0,0,7,0,0,0,0,0,3,0.00839811,0.0350995,0.239266
1190,PMX,199,5,23,2,2,66,1,10,2,19,22,52,0,0,0,0,0,0,0,0,0,0,0,0,0.00841773,0.0214179,0.393022
1200,PMX,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000281432,0.0126808,0.0221935
1210,PMX,259,5,44,6,6,86,2,9,1,33,12,60,10,3,2,0,1,2,0,1,0,1,1,2,0.00838545,0.0352271,0.23804
1220,PMX,230,5,26,6,3,69,3,14,1,33,28,47,0,0,0,0,0,0,0,0,0,0,0,0,0.00843855,0.0213678,0.394919
1230,PMX,126,6,17,2,1,34,0,5,0,20,13,34,0,0,0,0,0,0,0,0,0,0,0,0,0.00898182,0.0190657,0.471097
1240,PMX,153,4,27,7,2,51,0,7,0,16,13,30,0,0,0,0,0,0,0,0,0,0,0,0,0.00836491,0.0184249,0.454001
1250,PMX,73,4,10,2,1,16,1,2,1,7,11,22,15,5,2,1,1,2,0,2,0,0,1,6,0.00814705,0.0327742,0.248581
1260,PMX,140,5,24,3,2,37,1,10,1,18,13,31,0,0,0,0,0,0,0,0,0,0,0,0,0.00853483,0.0215023,0.396927
1270,PMX,38,3,8,1,0,13,0,1,0,8,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0.000330672,0.0118632,0.0278739
1280,PMX,271,5,52,7,1,72,3,19,3,31,17,66,14,3,7,0,0,4,0,2,0,0,1,0,0.00846991,0.0364333,0.232477
1290,PMX,234,7,25,3,5,75,1,17,0,25,18,65,0,0,0,0,0,0,0,0,0,0,0,0,0.008385,0.0229952,0.364641
1300,PMX,145,5,22,6,1,44,1,5,1,17,6,42,0,0,0,0,0,0,0,0,0,0,0,0,0.00850442,0.0206448,0.411941
1310,PMX,188,5,23,4,2,38,0,13,1,27,15,65,8,3,1,0,1,2,1,0,0,1,1,1,0.00836672,0.0338875,0.246897
1320,PMX,179,6,28,3,1,47,1,8,0,24,10,57,0,0,0,0,0,0,0,0,0,0,0,0,0.0086107,0.0206956,0.416065
1330,PMX,197,5,24,5,2,59,1,9,0,21,14,62,0,0,0,0,0,0,0,0,0,0,0,0,0.00835758,0.0192039,0.435202
1340,PMX,127,5,17,1,1,36,3,4,0,18,11,36,0,0,0,0,0,0,0,0,0,0,0,0,0.00834747,0.0180425,0.462656
1350,PMX,138,4,17,4,0,43,0,4,1,16,11,42,0,0,0,0,0,0,0,0,0,0,0,0,0.0081923,0.0190528,0.429979
1360,PMX,177,5,31,5,3,48,0,7,0,16,19,48,0,0,0,0,0,0,0,0,0,0,0,0,0.00830402,0.0213092,0.389692
1370,PMX,126,4,20,0,4,25,0,4,0,16,18,39,0,0,0,0,0,0,0,0,0,0,0,0,0.00841376,0.0216017,0.389496
1380,PMX,70,4,10,3,1,23,1,2,0,4,7,19,0,0,0,0,0,0,0,0,0,0,0,0,0.00869902,0.014811,0.587335
1390,PMX,196,6,24,6,0,72,1,6,0,18,15,54,45,4,3,0,0,12,0,4,1,1,2,22,0.00844116,0.0412274,0.204746
1400,PMX,104,4,21,2,3,26,1,1,0,14,8,28,0,0,0,0,0,0,0,0,0,0,0,0,0.000286282,0.0179506,0.0159484
1410,PMX,193,5,31,3,3,57,1,5,3,22,16,52,0,0,0,0,0,0,0,0,0,0,0,0,0.00830133,0.0205914,0.403146
1420,PMX,168,5,29,5,3,49,2,6,0,14,14,46,0,0,0,0,0,0,0,0,0,0,0,0,0.00857462,0.0188109,0.455832
1430,PMX,203,5,30,4,5,49,1,8,0,22,16,68,0,0,0,0,0,0,0,0,0,0,0,0,0.00826837,0.024324,0.339926
1440,PMX,181,5,18,6,2,56,4,10,2,21,14,48,0,0,0,0,0,0,0,0,0,0,0,0,0.00830737,0.0191469,0.433876
1450,PMX,162,4,29,8,4,47,2,7,0,15,7,43,1,3,0,0,0,1,0,0,0,0,0,0,0.00844767,0.0324769,0.260113
1460,PMX,61,4,7,0,2,16,2,4,0,5,2,23,0,0,0,0,0,0,0,0,0,0,0,0,0.0084134,0.0149758,0.561798
1470,PMX,177,6,20,3,6,37,5,8,0,30,25,43,0,0,0,0,0,0,0,0,0,0,0,0,0.00835913,0.0223074,0.374725
1480,PMX,267,5,40,6,4,84,1,16,0,26,20,70,1,3,0,0,0,1,0,0,0,0,0,0,0.00858292,0.0334947,0.256247
1490,PMX,57,3,10,4,2,17,0,5,2,4,4,9,24,3,5,1,1,10,0,1,0,2,1,3,0.00871798,0.0241172,0.361484
1500,PMX,140,5,16,2,2,48,1,9,0,17,4,41,22,4,2,0,0,3,0,0,0,1,2,14,0.00868972,0.0324037,0.26817
1510,PMX,122,5,21,4,0,30,1,3,0,17,12,34,0,0,0,0,0,0,0,0,0,0,0,0,0.0083304,0.0186095,0.447642
1520,PMX,123,4,21,3,1,32,3,6,1,16,11,29,0,0,0,0,0,0,0,0,0,0,0,0,0.00861423,0.0177154,0.486256
1530,PMX,269,5,47,5,4,77,2,17,0,34,26,57,0,0,0,0,0,0,0,0,0,0,0,0,0.00852032,0.0277962,0.306528
1540,PMX,28,3,4,1,0,7,0,0,1,5,3,7,4,3,0,0,0,1,0,0,0,0,0,3,0.000246222,0.0217,0.0113466
1550,PMX,59,4,6,0,3,12,0,1,1,6,8,22,0,0,0,0,0,0,0,0,0,0,0,0,0.0084616,0.0171288,0.494
1560,PMX,133,4,13,3,0,31,2,5,1,12,4,62,0,0,0,0,0,0,0,0,0,0,0,0,0.00844264,0.0192191,0.439284
1570,PMX,272,7,53,7,2,70,3,10,3,19,28,77,0,0,0,0,0,0,0,0,0,0,0,0,0.00866267,0.0249922,0.346615
1580,PMX,137,4,16,2,0,35,0,11,0,19,19,35,0,0,0,0,0,0,0,0,0,0,0,0,0.00844945,0.0181166,0.466394
1590,PMX,193,5,24,9,3,50,1,17,0,23,20,46,0,0,0,0,0,0,0,0,0,0,0,0,0.00834632,0.0202739,0.411678
1600,PMX,187,5,24,6,1,49,0,7,0,26,17,57,13,3,5,0,0,2,0,1,0,0,2,3,0.00839718,0.0341818,0.245662
1610,PMX,185,5,32,4,2,52,0,11,1,28,15,40,0,0,0,0,0,0,0,0,0,0,0,0,0.00835922,0.0209684,0.398657
1620,PMX,210,6,23,1,4,53,1,10,0,22,16,80,0,0,0,0,0,0,0,0,0,0,0,0,0.00836994,0.0228306,0.36661
1630,PMX,187,5,19,5,2,50,1,10,0,25,21,54,0,0,0,0,0,0,0,0,0,0,0,0,0.00836703,0.0214544,0.389992
1640,PMX,167,4,41,3,1,52,3,9,0,18,11,29,3,3,1,0,0,1,0,0,0,1,0,0,0.00840357,0.0285624,0.294218
1650,PMX,175,4,26,3,3,51,2,10,0,19,16,45,4,3,0,0,0,2,0,0,0,0,0,2,0.000300612,0.0329707,0.00911754
1660,PMX,224,6,31,6,4,59,1,7,2,21,21,72,0,0,0,0,0,0,0,0,0,0,0,0,0.00832457,0.0236431,0.352092
1670,PMX,167,5,16,2,2,46,2,4,1,14,20,60,0,0,0,0,0,0,0,0,0,0,0,0,0.00831737,0.0213882,0.388876
1680,PMX,289,6,34,7,4,107,5,15,1,32,23,61,0,0,0,0,0,0,0,0,0,0,0,0,0.0084495,0.0216553,0.390182
1690,PMX,216,5,33,3,5,73,1,16,0,19,15,51,0,0,0,0,0,0,0,0,0,0,0,0,0.00828029,0.0193162,0.428671
1700,PMX,155,4,32,2,3,43,0,5,0,14,9,47,2,3,1,0,0,1,0,0,0,0,0,0,0.00871782,0.0321225,0.271393
1710,PMX,75,4,13,1,1,16,0,6,0,7,8,23,0,0,0,0,0,0,0,0,0,0,0,0,0.00843935,0.0164847,0.511951
1720,PMX,150,5,23,4,4,37,0,11,1,23,12,35,0,0,0,0,0,0,0,0,0,0,0,0,0.00843641,0.017834,0.473052
1730,PMX,192,5,33,5,6,59,2,8,2,15,16,46,3,3,0,0,0,0,0,0,0,0,0,3,0.00853465,0.0305637,0.279241
1740,PMX,158,4,35,2,5,45,2,5,0,23,13,28,0,0,0,0,0,0,0,0,0,0,0,0,0.00849208,0.0186404,0.455575
1750,PMX,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000251722,0.0119199,0.0211178
1760,PMX,129,5,16,2,3,34,1,10,1,10,13,39,0,0,0,0,0,0,0,0,0,0,0,0,0.00832416,0.018931,0.43971
1770,PMX,170,6,24,3,0,46,2,12,0,22,13,48,0,0,0,0,0,0,0,0,0,0,0,0,0.00834851,0.0217883,0.383165
1780,PMX,229,6,36,5,1,66,2,13,1,22,21,62,170,6,18,4,0,47,6,6,1,15,8,65,0.00831852,0.0457184,0.181951
1790,PMX,209,4,31,6,0,69,1,10,0,22,14,56,5,3,1,0,0,2,0,0,0,0,0,2,0.00833917,0.0312247,0.267069
1800,PMX,65,4,13,3,0,19,1,5,1,7,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0.00827576,0.0152271,0.54349
1810,PMX,147,4,20,7,3,37,4,10,0,15,15,36,0,0,0,0,0,0,0,0,0,0,0,0,0.00834528,0.0192318,0.433932
1820,PMX,0,3,0,0,0,0,0,0,0,0,0,0,13,3,7,0,0,2,0,3,0,1,0,0,0.000288712,0.0204836,0.0140948
1830,PMX,28,3,5,0,0,13,1,1,0,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0.000305203,0.0105411,0.0289537
1840,PMX,49,4,9,1,2,16,3,3,0,1,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0.00812856,0.0140789,0.577357
1850,PMX,138,4,25,2,4,38,2,4,0,12,11,40,0,0,0,0,0,0,0,0,0,0,0,0,0.00840389,0.0171966,0.488695
1860,PMX,292,5,31,8,4,88,1,18,2,27,24,89,0,0,0,0,0,0,0,0,0,0,0,0,0.00844743,0.0233239,0.36218
